Date:,25-Sep-14,ACTUAL,,Date:,25-Sep-14,ACTUAL,,,,,,,,
wake up get ready,85,8:40:00,,wake up get ready,85,8:40:00,,,,,,,,
drive to work,20,10:05:00,,drive to work,20,10:05:00,,,,,,,,
eat,10,10:25:00,,eat,10,10:25:00,,,,,,,,
churn,15,10:35:00,,churn,15,10:35:00,,,,,,,,
work,25,10:50:00,,work,25,10:50:00,,,,,,,,
lunch,65,11:15:00,,lunch,65,11:15:00,,,,,,,,
work,80,12:20:00,,work,80,12:20:00,,,,,,,,
break,10,13:40:00,,break,10,13:40:00,,,,,,,,
subanalytics,20,13:50:00,,subanalytics,20,13:50:00,,,,,,,,
plan,5,14:10:00,,plan,5,14:10:00,,,,,,,,
work,45,14:15:00,,work,45,14:15:00,,,,,,,,
meeting,55,15:00:00,,meeting,45,15:00:00,,,,,,,,
work,10,15:55:00,,work,35,15:45:00,,,,,,,,
parenting research,10,16:05:00,,tea time,10,16:20:00,,,,,,,,
work,85,16:15:00,,walk,20,16:30:00,,,,,,,,
leave,,17:40:00,,work,35,16:50:00,,,,,,,,
,,,,program,35,17:25:00,,,,,,,,
,,,,leave,,18:00:00,,,,,,,,
,,,,,,,,,,,,,,
Date:,24-Sep-14,ACTUAL,,Date:,24-Sep-14,ACTUAL,,,,,,,,
wake up get ready,60,8:40:00,,wake up get ready,60,8:40:00,,,,,,,,
drive to work,20,9:40:00,,drive to work,20,9:40:00,,,,,,,,
memes shit,5,10:00:00,,memes shit,5,10:00:00,,,,,,,,
churn,5,10:05:00,,churn,5,10:05:00,,,,,,,,
plan,5,10:10:00,,plan,5,10:10:00,,,,,,,,
expenditures research,50,10:15:00,,expenditures research,50,10:15:00,,,,,,,,
program,25,11:05:00,,program,30,11:05:00,,,,,,,,
churn,5,11:30:00,,work,40,11:35:00,,,,,,,,
work,50,11:35:00,,lunch,50,12:15:00,,,,,,,,
lunch,45,12:25:00,,work,45,13:05:00,,,,,,,,
work,80,13:10:00,,juggle,25,13:50:00,,,,,,,,
juggle,50,14:30:00,,work,40,14:15:00,,,,,,,,
churn,20,15:20:00,,tea time,30,14:55:00,,,,,,,,
work,20,15:40:00,,work,35,15:25:00,,,,,,,,
meeting,30,16:00:00,,meeting,45,16:00:00,,,,,,,,
work,35,16:30:00,,work,30,16:45:00,,,,,,,,
expenditures research,20,17:05:00,,unscheduled,30,17:15:00,,,,,,,,
leave,,17:25:00,,leave,,17:45:00,,,,,,,,
,,,,,,,,,,,,,,
Date:,23-Sep-14,ACTUAL,,Date:,23-Sep-14,ACTUAL,,,,,,,,
wake up get ready,70,8:15:00,,wake up get ready,70,8:15:00,,,,,,,,
